Rep,Isolate,Kombar reaction type,Net blotch form,percent leaf coverage,RT Average,RT St Dev,% Average,% St Dev,CrossSubspecies,CrossParents,Cross Type
2,FGO,3,S,0.3,,,,,Parents,Parents,Parents
2,FGO,2.5,S,0.3,,,,,Parents,Parents,Parents
3,FGO,3.5,S,0.4,,,,,Parents,Parents,Parents
3,FGO,4.5,S,0.65,,,0.37,0.15,Parents,Parents,Parents
1,2,7,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
2,2,6,N,0.35,,,,,PTTxPTT,0-1x15A,Intra
3,2,3.5,N,0.15,5.50,1.80,0.37,0.23,PTTxPTT,0-1x15A,Intra
1,3,3.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,3,8.5,N,0.8,,,,,PTTxPTT,0-1x15A,Intra
3,3,7,N,0.4,6.33,2.57,0.57,0.21,PTTxPTT,0-1x15A,Intra
1,10,8.5,N,0.75,,,,,PTTxPTT,0-1x15A,Intra
2,10,10,N,1,,,,,PTTxPTT,0-1x15A,Intra
3,10,8.5,N,0.85,9.00,0.87,0.87,0.13,PTTxPTT,0-1x15A,Intra
1,27,7.5,N,0.7,,,,,PTTxPTT,0-1x15A,Intra
2,27,6,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
3,27,8.5,N,0.85,7.33,1.26,0.68,0.18,PTTxPTT,0-1x15A,Intra
1,29,6.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,29,6.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
3,29,6.5,N,0.5,6.50,0.00,0.50,0.00,PTTxPTT,0-1x15A,Intra
1,35,8.5,N,0.75,,,,,PTTxPTT,0-1x15A,Intra
2,35,7.5,N,0.7,,,,,PTTxPTT,0-1x15A,Intra
3,35,9,N,0.8,8.33,0.76,0.75,0.05,PTTxPTT,0-1x15A,Intra
1,36,7.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,36,9.5,N,0.95,,,,,PTTxPTT,0-1x15A,Intra
3,36,9,N,0.9,8.67,1.04,0.78,0.25,PTTxPTT,0-1x15A,Intra
1,37,9,N,0.85,,,,,PTTxPTT,0-1x15A,Intra
2,37,4.5,N,0.25,,,,,PTTxPTT,0-1x15A,Intra
3,37,6.5,N,0.5,6.67,2.25,0.53,0.30,PTTxPTT,0-1x15A,Intra
1,49,8,N,0.7,,,,,PTTxPTT,0-1x15A,Intra
2,49,6.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
3,49,3.5,N,0.2,6.00,2.29,0.47,0.25,PTTxPTT,0-1x15A,Intra
1,51,7.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,51,7.5,N,0.65,,,,,PTTxPTT,0-1x15A,Intra
3,51,8.5,N,0.75,7.83,0.58,0.63,0.13,PTTxPTT,0-1x15A,Intra
1,52,9,N,0.95,,,,,PTTxPTT,0-1x15A,Intra
2,52,7.5,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
3,52,4,N,0.25,6.83,2.57,0.60,0.35,PTTxPTT,0-1x15A,Intra
1,55,6,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,55,7,N,0.45,,,,,PTTxPTT,0-1x15A,Intra
3,55,5,N,0.35,6.00,1.00,0.43,0.08,PTTxPTT,0-1x15A,Intra
1,62,8.5,N,0.85,,,,,PTTxPTT,0-1x15A,Intra
2,62,6,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
3,62,4,N,0.1,6.17,2.25,0.48,0.38,PTTxPTT,0-1x15A,Intra
1,65,7.5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,65,9.5,N,0.9,,,,,PTTxPTT,0-1x15A,Intra
3,65,6.5,N,0.4,7.83,1.53,0.60,0.26,PTTxPTT,0-1x15A,Intra
1,67,9,N,0.85,,,,,PTTxPTT,0-1x15A,Intra
2,67,5.5,N,0.3,,,,,PTTxPTT,0-1x15A,Intra
3,67,,,,7.25,2.47,0.58,0.39,PTTxPTT,0-1x15A,Intra
1,70,6.5,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
2,70,7,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
3,70,5,N,0.15,6.17,1.04,0.45,0.26,PTTxPTT,0-1x15A,Intra
1,76,5,N,0.5,,,,,PTTxPTT,0-1x15A,Intra
2,76,3.5,N,0.2,,,,,PTTxPTT,0-1x15A,Intra
3,76,3.5,N,0.2,4.00,0.87,0.30,0.17,PTTxPTT,0-1x15A,Intra
1,80,6.5,N,0.65,,,,,PTTxPTT,0-1x15A,Intra
2,80,5,N,0.4,,,,,PTTxPTT,0-1x15A,Intra
3,80,6.5,N,0.5,6.00,0.87,0.52,0.13,PTTxPTT,0-1x15A,Intra
1,82,8,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
2,82,6,N,0.35,,,,,PTTxPTT,0-1x15A,Intra
3,82,8,N,0.8,7.33,1.15,0.58,0.23,PTTxPTT,0-1x15A,Intra
1,83,10,N,0.95,,,,,PTTxPTT,0-1x15A,Intra
2,83,9.5,N,0.85,,,,,PTTxPTT,0-1x15A,Intra
3,83,7.5,N,0.8,9.00,1.32,0.87,0.08,PTTxPTT,0-1x15A,Intra
1,87,7.5,N,0.8,,,,,PTTxPTT,0-1x15A,Intra
2,87,7.5,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
3,87,7.5,N,0.75,7.50,0.00,0.72,0.10,PTTxPTT,0-1x15A,Intra
1,89,9.5,N,0.85,,,,,PTTxPTT,0-1x15A,Intra
2,89,9.5,N,0.9,,,,,PTTxPTT,0-1x15A,Intra
3,89,4.5,N,0.15,7.83,2.89,0.63,0.42,PTTxPTT,0-1x15A,Intra
1,90,7,N,0.4,,,,,PTTxPTT,0-1x15A,Intra
2,90,8.5,N,0.9,,,,,PTTxPTT,0-1x15A,Intra
3,90,8,N,0.7,7.83,0.76,0.67,0.25,PTTxPTT,0-1x15A,Intra
1,102,7.5,N,0.75,,,,,PTTxPTT,0-1x15A,Intra
2,102,6.5,N,0.6,,,,,PTTxPTT,0-1x15A,Intra
3,102,7.5,N,0.7,7.17,0.58,0.68,0.08,PTTxPTT,0-1x15A,Intra
1,105,10,N,1,,,,,PTTxPTT,0-1x15A,Intra
2,105,8,N,0.75,,,,,PTTxPTT,0-1x15A,Intra
3,105,8.5,N,0.85,8.83,1.04,0.87,0.13,PTTxPTT,0-1x15A,Intra
1,108,10,N,1,,,,,PTTxPTT,0-1x15A,Intra
2,108,9.5,N,0.95,,,,,PTTxPTT,0-1x15A,Intra
3,108,8.5,N,0.9,9.33,0.76,0.95,0.05,PTTxPTT,0-1x15A,Intra
1,15A,8.5,N,0.8,,,,,Parents,Parents,Parents
1,15A,9.5,N,0.95,,,,,Parents,Parents,Parents
2,15A,9.5,N,0.95,,,,,Parents,Parents,Parents
2,15A,3.5,N,0.15,,,,,Parents,Parents,Parents
3,15A,5,N,0.1,,,0.59,0.43,Parents,Parents,Parents
1,0-1,9.5,N,0.9,,,,,Parents,Parents,Parents
1,0-1,7,N,0.5,,,,,Parents,Parents,Parents
2,0-1,10,N,1,,,,,Parents,Parents,Parents
2,0-1,8,N,0.9,,,,,Parents,Parents,Parents
3,0-1,10,N,1,,,,,Parents,Parents,Parents
3,0-1,4.5,N,0.3,,,0.77,0.29,Parents,Parents,Parents
